/cm/local/apps/slurm/var/spool/job851027/slurm_script: line 12: activate: No such file or directory
A.L.E: Arcade Learning Environment (version 0.8.1+53f58b7)
[Powered by Stella]
Episode 347, Total Reward: 0.0, Epsilon: 0.9830349999999854
Episode 348, Total Reward: 6.0, Epsilon: 0.9829862499999854
Episode 349, Total Reward: 0.0, Epsilon: 0.9829374999999854
Episode 350, Total Reward: 0.0, Epsilon: 0.9828887499999853
Episode 351, Total Reward: 6.0, Epsilon: 0.9828399999999853
Episode 352, Total Reward: 0.0, Epsilon: 0.9827912499999852
Episode 353, Total Reward: 0.0, Epsilon: 0.9827424999999852
Episode 354, Total Reward: 6.0, Epsilon: 0.9826937499999852
Episode 355, Total Reward: 0.0, Epsilon: 0.9826449999999851
Episode 356, Total Reward: 0.0, Epsilon: 0.9825962499999851
Episode 357, Total Reward: 6.0, Epsilon: 0.982547499999985
Episode 358, Total Reward: 0.0, Epsilon: 0.982498749999985
Episode 359, Total Reward: 0.0, Epsilon: 0.982449999999985
Episode 360, Total Reward: 6.0, Epsilon: 0.9824012499999849
Episode 361, Total Reward: 0.0, Epsilon: 0.9823524999999849
Episode 362, Total Reward: 0.0, Epsilon: 0.9823037499999848
Episode 363, Total Reward: 6.0, Epsilon: 0.9822549999999848
Episode 364, Total Reward: 0.0, Epsilon: 0.9822062499999847
Episode 365, Total Reward: 0.0, Epsilon: 0.9821574999999847
Episode 366, Total Reward: 6.0, Epsilon: 0.9821087499999847
Episode 367, Total Reward: 0.0, Epsilon: 0.9820599999999846
Episode 368, Total Reward: 0.0, Epsilon: 0.9820112499999846
Episode 369, Total Reward: 6.0, Epsilon: 0.9819624999999845
Episode 370, Total Reward: 0.0, Epsilon: 0.9819137499999845
Episode 371, Total Reward: 0.0, Epsilon: 0.9818649999999844
Episode 372, Total Reward: 6.0, Epsilon: 0.9818162499999844
Episode 373, Total Reward: 0.0, Epsilon: 0.9817674999999844
Episode 374, Total Reward: 0.0, Epsilon: 0.9817187499999843
Episode 375, Total Reward: 6.0, Epsilon: 0.9816699999999843
Episode 376, Total Reward: 0.0, Epsilon: 0.9816212499999842
Episode 377, Total Reward: 0.0, Epsilon: 0.9815724999999842
Episode 378, Total Reward: 6.0, Epsilon: 0.9815237499999842
Episode 379, Total Reward: 0.0, Epsilon: 0.9814749999999841
Episode 380, Total Reward: 0.0, Epsilon: 0.9814262499999841
Episode 381, Total Reward: 6.0, Epsilon: 0.981377499999984
Episode 382, Total Reward: 0.0, Epsilon: 0.981328749999984
Episode 383, Total Reward: 0.0, Epsilon: 0.9812799999999839
Episode 384, Total Reward: 6.0, Epsilon: 0.9812312499999839
Episode 385, Total Reward: 0.0, Epsilon: 0.9811824999999839
Episode 386, Total Reward: 0.0, Epsilon: 0.9811337499999838
Episode 387, Total Reward: 6.0, Epsilon: 0.9810849999999838
Episode 388, Total Reward: 0.0, Epsilon: 0.9810362499999837
Episode 389, Total Reward: 0.0, Epsilon: 0.9809874999999837
Episode 390, Total Reward: 6.0, Epsilon: 0.9809387499999837
Episode 391, Total Reward: 0.0, Epsilon: 0.9808899999999836
Episode 392, Total Reward: 0.0, Epsilon: 0.9808412499999836
Episode 393, Total Reward: 6.0, Epsilon: 0.9807924999999835
Episode 394, Total Reward: 0.0, Epsilon: 0.9807437499999835
Episode 395, Total Reward: 0.0, Epsilon: 0.9806949999999834
Episode 396, Total Reward: 6.0, Epsilon: 0.9806462499999834
Episode 397, Total Reward: 0.0, Epsilon: 0.9805974999999834
Episode 398, Total Reward: 0.0, Epsilon: 0.9805487499999833
Episode 399, Total Reward: 6.0, Epsilon: 0.9804999999999833
Episode 400, Total Reward: 0.0, Epsilon: 0.9804512499999832
Episode 401, Total Reward: 0.0, Epsilon: 0.9804024999999832
Episode 402, Total Reward: 6.0, Epsilon: 0.9803537499999831
Episode 403, Total Reward: 0.0, Epsilon: 0.9803049999999831
Episode 404, Total Reward: 0.0, Epsilon: 0.9802562499999831
Episode 405, Total Reward: 6.0, Epsilon: 0.980207499999983
Episode 406, Total Reward: 0.0, Epsilon: 0.980158749999983
Episode 407, Total Reward: 0.0, Epsilon: 0.9801099999999829
Episode 408, Total Reward: 6.0, Epsilon: 0.9800612499999829
